code difference 
890928 1.961382
891818 2.006159
892708 2.033162
893598 2.035528
894488 1.992351
895378 2.031761
896268 2.034231
897158 2.053852
898048 2.039976
898938 2.033194
899828 2.037427
900718 2.029296
901608 2.034362
902498 2.042081
903388 2.058802
904278 2.036265
905168 2.064124
906058 2.020946
906948 2.079910
907838 2.042765
908728 2.036515
909618 2.066522
910508 2.074749
911398 2.080641
912288 2.098148
913178 2.061434
914068 2.084949
914958 2.059386
915848 2.084290
916738 2.086447
917628 2.102845
918518 2.106250
919408 2.089482
920298 2.072367
921188 2.104226
922078 2.121040
922968 2.105060
923858 2.092208
924748 2.121616
925638 2.093761
926528 2.116814
927418 2.080063
928308 2.128463
929198 2.128438
930088 2.147268
930978 2.115010
931868 2.125661
932758 2.153571
933648 2.167509
934538 2.110330
935428 2.139643
936318 2.154907
937208 2.161596
938098 2.148407
938988 2.148166
939878 2.147711
940768 2.173997
941658 2.139657
942548 2.181303
943438 2.191765
944328 2.167842
945218 2.173491
946108 2.190113
946998 2.175128
947888 2.160756
948778 2.171132
949668 2.159463
950558 2.179658
951448 2.194693
952338 2.162673
953228 2.162600
954118 2.192305
955008 2.207420
955898 2.200023
956788 2.192233
957678 2.193581
958568 2.199164
959458 2.229535
960348 2.216803
961238 2.216412
962128 2.223484
963018 2.214070
963908 2.206626
964798 2.230356
965688 2.235835
966578 2.256431
967468 2.236983
968358 2.233941
969248 2.218380
970138 2.208376
971028 2.228585
971918 2.228156
972808 2.252718
973698 2.266362
974588 2.230859
975478 2.250351
976368 2.273292
977258 2.222570
978148 2.260999
979038 2.286460
979928 2.268981
980818 2.255234
982598 2.287553
983488 2.294822
984378 2.291561
985268 2.274219
986158 2.266391
987048 2.281487
987938 2.274822
988828 2.274598
989718 2.270827
990608 2.292758
991498 2.287263
992388 2.261213
993278 2.318771
994168 2.301675
995058 2.323108
995948 2.322847
996838 2.311696
997728 2.325746
998618 2.317358
999508 2.334019
1000398 2.340889
1001288 2.327236
1002178 2.323152
1003068 2.316074
1003958 2.327187
1004848 2.350712
1005738 2.326294
1006628 2.350432
1007518 2.335075
1008408 2.336050
1009298 2.339513
1010188 2.355399
1011078 2.356207
1011968 2.367299
1012858 2.339093
1013748 2.324157
1014638 2.369683
1015528 2.366446
1016418 2.383809
1017308 2.375228
1018198 2.372045
1019088 2.381953
1019978 2.316358
1020868 2.363027
1021758 2.366695
1022648 2.406305
1023538 2.379041
1024428 2.365372
1025318 2.399866
1026208 2.404799
1027098 2.370791
1027988 2.395379
1028878 2.383270
1029768 2.400952
1030658 2.370624
1031548 2.376203
1032438 2.421626
1033328 2.406000
1034218 2.405617
1035108 2.379823
1035998 2.405786
1036888 2.407945
1037778 2.430435
1038668 2.389397
1039558 2.397962
1040448 2.417277
1041338 2.401074
1042228 2.420804
1043118 2.423502
1044008 2.425741
1044898 2.396997
1045788 2.445576
1046678 2.401884
1047568 2.438760
1048458 2.447752
1049348 2.416945
1050238 2.449966
1051128 2.427327
1052018 2.441147
1052908 2.424492
1053798 2.434826
1054688 2.457339
1055578 2.435265
1056468 2.443918
1057358 2.430235
1058248 2.456717
1059138 2.462161
1060028 2.465224
1060918 2.429664
1061808 2.455518
1062698 2.438151
1063588 2.478165
1064478 2.484904
1065368 2.468705
1066258 2.445237
1067148 2.475115
1068038 2.472861
1068928 2.477289
1069818 2.465501
1070708 2.505393
1071598 2.489247
1072488 2.485415
1073378 2.481261
1074268 2.503904
1075158 2.494566
1076048 2.528180
1076938 2.461173
1077828 2.502934
1078718 2.478108
1079608 2.472579
1080498 2.502128
1081388 2.527043
1082278 2.499523
1083168 2.483255
1084058 2.489845
1084948 2.528504
1085838 2.493375
1086728 2.512440
1087618 2.519677
1088508 2.516829
1089398 2.500275
1090288 2.499601
1091178 2.510355
1092068 2.536750
1092958 2.501404
1093848 2.535926
1094738 2.515371
1095628 2.537318
1096518 2.546578
1097408 2.471043
1098298 2.532442
1099188 2.534146
1100078 2.512772
1100968 2.531897
1101858 2.529472
1102748 2.514927
1103638 2.572374
1104528 2.522612
1105418 2.559854
1106308 2.563447
1107198 2.571376
1108088 2.554928
1108978 2.565587
1109868 2.563823
1110758 2.557577
1111648 2.549487
1112538 2.579055
1113428 2.549296
1114318 2.581956
1115208 2.568481
1116098 2.591233
1116988 2.563354
1117878 2.572191
1118768 2.538872
1119658 2.579817
1120548 2.593817
1121438 2.591502
1122328 2.594122
1123218 2.599002
1124108 2.598475
1124998 2.583417
1125888 2.567555
1126778 2.595034
1127668 2.579887
1128558 2.556981
1129448 2.591399
1130338 2.631411
1131228 2.609662
1132118 2.600353
1133898 2.624923
1134788 2.611773
1135678 2.587130
1136568 2.626246
1137458 2.598621
1138348 2.608713
1139238 2.646241
1140128 2.666313
1141018 2.624984
1141908 2.628527
1142798 2.648982
1143688 2.613867
1144578 2.617490
1145468 2.652489
1146358 2.615665
1147248 2.605409
1148138 2.644454
1149028 2.619687
1149918 2.640968
1150808 2.645358
1151698 2.641472
1152588 2.622635
1153478 2.619534
1154368 2.673832
1155258 2.625996
1156148 2.675167
1157038 2.646086
1157928 2.644037
1158818 2.655145
1159708 2.647579
1160598 2.619237
1161488 2.653995
1162378 2.658835
1163268 2.673463
1164158 2.647342
1165048 2.665271
1165938 2.689040
1166828 2.656991
1167718 2.640677
1168608 2.688867
1169498 2.670492
1170388 2.672082
1171278 2.659635
1172168 2.662105
1173058 2.670091
1173948 2.634393
1174838 2.657790
1175728 2.667055
1176618 2.690842
1177508 2.703907
1178398 2.699464
1179288 2.693498
1180178 2.680600
1181068 2.672966
1181958 2.671655
1182848 2.660737
1183738 2.686931
1184628 2.677621
1185518 2.704901
1186408 2.715656
1187298 2.706327
1188188 2.706646
1189078 2.708952
1189968 2.699758
1190858 2.696220
1191748 2.713595
1192638 2.744422
1193528 2.695503
1194418 2.688140
1195308 2.715306
1196198 2.713276
1197088 2.703496
1197978 2.704562
1198868 2.728381
1199758 2.680525
